plan_code|plan_name
PQ|GPO, POLICE, DAY RATE                   
PR|RURAL CARRIERS SCHEDULE                 
PS|POSTAL SERVICE BARGAINING EMPLOYEES     
PT|PROFESSIONAL AND TECHNICAL GAO EMPLOYEE 
PU|GPO, WHITE-COLLAR, 10% NIGHT RATE       
PV|POSTAL SERVICE OFFICER POSITIONS        
PW|WESTERN AREA SUPPLY CENTER ADP EMPLOYEES
PX|PRINTING EXECUTIVE SERVICE              
PY|GAO PROGRAM AND TECHNICAL SPECIALIST POS
PZ|GPO, POLICE, 10% NIGHT RATE             
QC|USPS CITY CARRIER                       
RA|DEPARTMENT OF AGRICULTURE POSITIONS     
RC|RURAL CARRIER                           
RE|MANAGERIAL POSITIONS (SLDP) SEN FED SERV
RF|CODE IS FOR USE BY HHS ONLY.            
RG|CODE FOR USE BY HHS ONLY.               
RP|TECHNICAL POSITIONS (SLDP) SEN FED SERV 
RS|SENIOR BIOMEDICAL RESEARCH SERVICE      
SA|ADMINISTRATIVE SCHEDULE                 
SB|CLERICAL SCHEDULE                       
SC|ENGINEERING AND COMPUTING SCHEDULE      
SD|ENGINEERING AND PROGRAMMING SCHEDULE    
SE|AIDE AND TECHNICIAN SCHEDULE            
SF|CUSTODIAL SCHEDULE                      
SG|PUBLIC SAFETY SCHEDULE                  
SH|PHYSICIANS SCHEDULE                     
SJ|SCIENTIFIC AND PROG SCHEDULE (EXCLUDED) 
SK|SEC EMP FORMERLY UNDER GS, GM, AND EZ   
SL|SENIOR LEVEL POSITIONS                  
SM|MANAGEMENT SCHEDULE                     
SN|SENIOR LEVEL SYSTEM                     
SO|SEC EMP FORMERLY UNDER ES PAY PLAN      
SP|PARK POLICE                             
SQ|PHYSICIANS/DENTISTS RECEIVNG MARKET PAY 
SR|STATUTORY RATES NOT ELSEWHERE SPECIFIED 
SS|SENIOR STAFF POSITIONS                  
ST|SCIENTIFIC AND PROFESSIONAL             
SU|CODE IS FOR USE BY GAO ONLY.            
SV|TRANS SECURITY ADMIN EMP OTHER THAN EXEC
SW|TRANSPORTATION SECURITY ADMIN EXECUTIVES
SY|SMITHSONIAN SENIOR MGMT. NON-FEDERAL POS
SZ|SMITHSONIAN EXEC NON-FED (TRUST) POSITNS
TA|CONSTRUCTION SCHEDULE                   
TB|OPER & MAINT SCH (POWER GENERATING FAC) 
TC|CHEMICAL OPERATORS SCHEDULE             
TD|PLANT OPERATORS SCHEDULE                
TE|OPER & MAINT SCH (NONPOWER GENERAT FAC) 
TF|FEDERAL HOUSING FINANCE AGENCY          
TG|OFC OF THRIFT SUPERVISION SALARY SCHEDUL
TL|OFC OF THRIFT SUPERVISION PRNTING LEADER
TM|FEDERAL HOUSING FINANCE BOARD MERIT PAY 
TN|OFFICE OF THRIFT SUPERVISION PRINTING   
TP|TEACHING POSITIONS                      
TR|POLICE FORCES OF THE U.S. MINT AND BEP  
TS|FEDERAL HOUSING FINANCE BOARD STEP SYS. 
TW|BUR OF ENGRAVG & PRINTG POLICE OFFICERS 
TX|OFC OF THRIFT SUPERVISION EXECUTIVE PAY 
VC|CANTEEN SERVICE                         
VE|VETERANS CANTEEN SERVICE EXECUTIVES ONLY
VG|CLERICAL AND ADMINISTRATIVE SUPPORT     
VH|PROFESSIONAL, ADMIN., AND MANAGERIAL    
VM|MEDICAL AND DENTAL                      
VN|NURSING                                 
VP|CLINICAL PODIATRISTS AND OPTOMETRISTS SC
WA|NAV LOCK & DAM OPER & MAINTEN POSITIONS 
WB|WAGE POSITIONS UNDER THE FEDERAL WAGE SY
WD|PRODUCTION FACILITATING NON-SUPERVISORY 
WE|CURRENCY MANUFACTURING                  
WF|MOTION PIC PROD SCHEDULE - FED WAGE SYS 
WG|NONSUPERVISORY PAY SCHEDULES - FEDERAL W
WH|COIN MANUFACTURING                      
WI|PRINTING AND LITHOGRAPHIC PAY SCHEDULES.
WJ|HOPPER DREDGE SCHEDULE--FWS             
WK|HOPPER DREDGE SCHEDULE, NONSUPERVISORY  
WL|LEADER PAY SCHEDULE - FEDERAL WAGE SYST 
WM|MARITIME PAY SCHEDULES--5 U.S.C. 5348   
WN|PRODUCTION FACILITATING SUPERVISORY FEDE
WO|NAVIGATIONAL LOCK AND DAM OPERATION AND 
WP|PRINTING AND LITHOGRAPHIC PAY SCHEDULES 
WQ|AIRCRAFT, ELECTRONIC EQUIPMENT, AND OPTI
WR|AIRCRAFT, ELECTRONIC EQUIPMENT, AND OPTI
WS|SUPERVISORY PAY SCHEDULES - FEDERAL WAGE
WT|APPRENTICES AND SHOP TRAINEES - FEDERAL 
WU|AIRCRAFT, ELECTRONIC EQUIPMENT, AND OPTI
WW|EMPLOYMENT UNDER SCHEDULE A 213.3102(W) 
WX|INSPECTION SERVICE, NONSUPERVISORY      
WY|NAV LOCK & DAM OPER & MAINTEN POSITIONS 
WZ|CANAL ZONE WAGE SYSTEM-TYPE POSITIONS   
XA|SPECIAL OVERLAP AREA RATE SCHEDULE - NON
XB|SPECIAL OVERLAP AREA RATE SCHEDULE - LEA
XC|SPECIAL OVERLAP AREA RATE SCHEDULE - SUP
XD|NONSUPERVISORY PRODUCTION FACILITATING S
XE|SUPERVISORS OF NEGOTIATED RATE EMP--FWS 
XF|FLOATING PLANT SCH--NONSUPERVISORY--FWS 
XG|FLOATING PLANT SCH--LEADER--FWS         
XH|FLOATING PLANT SCHEDULE--FWS            
XI|NON-SUPERVISORY SCH - PREVAILG RATE SYS 
XJ|LEADER SCHEDULE - PREVAILING RATE SYSTEM
XK|SUPERVISORY SCH - PREVAILING RATE SYSTEM
XL|LEADER SPECIAL SCHEDULE PRINTING EMPLOYE
XN|SUPERVISORY PRODUCTION FACILITATING SPEC
XP|NONSUPERVISORY SPECIAL SCHEDULE PRINTING
XS|SUPERVISORY SPECIAL SCHEDULE PRINTING EM
XW|NON-SUPRV DOD NON-APPR FUND SERIES 5823 
XY|LEADER DOD NON-APPR FUND POS SERIES 5823
XZ|SUPERVISORY DOD NONAPPR FUND SERIES 5823
YA|STD CAR GRP - PROF/ANALYTICAL PAY SCH   
YB|STD CAR GRP - TECH/SUPPORT PAY SCH      
YC|STD CAR GRP - SUPERVISOR/MANAGER PAY SCH
YD|SCI & ENG CAR GRP - PROFESSIONAL PAY SCH
YE|SCI & ENG CAR GRP - TECH/SUPPORT PAY SCH
YF|SCI & ENG CAR GRP - SUPERV/MGR PAY SCH  
YG|MED CAR GRP - PHYSICIAN/DENTIST PAY SCH 
YH|MED CAR GRP - PROFESSIONAL PAY SCH      
YI|MED CAR GRP - TECHNICIAN/SUPPORT PAY SCH
YJ|MED CAR GRP - SUPERVISOR/MANAGER PAY SCH
YK|INV & PROT CAR GRP - INVESTIGATV PAY SCH
YL|INV & PROT CAR GRP - FIRE PROTEC PAY SCH
YM|INV & PROT CAR GRP - POLICE/SEC PAY SCH 
YN|INV & PROT CAR GRP - SUPERV/MGR PAY SCH 
YO|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YP|STD CAR GRP - STUD EDUC EMP PROG PAY SCH
YQ|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YR|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YS|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YT|CODE FOR AF, ARMY, DEFENSE, NAVEY ONLY  
YU|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YV|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YW|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YX|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YY|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
YZ|CODE FOR AF, ARMY, DEFENSE, NAVY ONLY   
ZA|ADMINISTRATIVE                          
ZP|SCIENTIFIC AND ENGINEERING PROFESSIONAL 
ZS|ADMINISTRATIVE SUPPORT                  
ZT|SCIENTIFIC AND ENGINEERING TECHNICIAN   
ZZ|NONAPPLICABLE                           
